Mono RX,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Mono FF 174 NuPolar ,69.43,70.43,73.43,75.43,75.43,75.43,x,x,79.43,,,,,,,,,,
Mono FF 1.50 NuPolar Gradient ,20.58,21.58,24.58,26.58,26.58,26.58,x,x,30.58,,,,,,,,,,
Mono FF 1.50 NuPolar Infinite Grey ,33.48,34.48,37.48,39.48,39.48,39.48,x,x,43.48,,,,,,,,,,
Mono FF 1.50 NuPolar Tinted Universe,x,x,x,x,x,34.58,x,x,x,,,,,,,,,,
Mono FF 1.50 NuPolar Tinted Universe gradient,x,x,x,x,x,35.58,x,x,x,,,,,,,,,,
Mono FF 1.50 Polaro ,16.83,17.83,20.83,22.83,22.83,x,x,x,26.83,,,,,,,,,,
Mono FF 1.60 Polaro ,29.18,30.18,33.18,35.18,35.18,x,x,x,39.18,,,,,,,,,,
Mono FF 1.50 NuPolar MIRROR ,28.66,x,x,x,x,x,x,x,x,,,,,,,,,,
Esthetic-cut ,UC,Basis,CLARUS II,Blue PRO,Clarus Sericum UV,Achromatic,Mirror Coating,Flash to Mirror ,Ultraslik,,,,,,,,,,
Esthetic-cut  1.50 ,11.47,12.47,15.47,17.47,17.47,17.47,16.47,x,21.47,,,,,,,,,,
Esthetic-cut  1.53 ,19.15,20.15,23.15,25.15,25.15,x,x,x,29.15,,,,,,,,,,
Esthetic-cut  1.56 ,13.49,14.49,17.49,19.49,19.49,x,x,x,23.49,,,,,,,,,,
Esthetic-cut  1.59 ,20.61,21.61,24.61,26.61,26.61,x,x,x,30.61,,,,,,,,,,
Esthetic-cut  1.60 ,21.98,22.98,25.98,27.98,27.98,27.98,26.98,x,31.98,,,,,,,,,,
Esthetic-cut  1.67 ,30.07,31.07,34.07,36.07,36.07,36.07,35.07,x,40.07,,,,,,,,,,
Esthetic-cut  1.74 ,46.64,47.64,50.64,52.64,52.64,52.64,x,x,56.64,,,,,,,,,,
Esthetic-cut  1.50 BLUE420 ,14.05,15.05,18.05,20.05,20.05,20.05,x,x,24.05,,,,,,,,,,
Esthetic-cut  1.60 BLUE420 ,25.37,26.37,29.37,31.37,31.37,31.37,x,x,35.37,,,,,,,,,,
Esthetic-cut  1.67 BLUE420 ,35.07,36.07,39.07,41.07,41.07,41.07,x,x,45.07,,,,,,,,,,
Esthetic-cut 1.50 Trans GEN S ,28.66,29.66,32.66,34.66,34.66,34.66,x,x,38.66,,,,,,,,,,
"Esthetic-cut 1.50 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",28.66,29.66,32.66,34.66,34.66,34.66,x,x,38.66,,,,,,,,,,
Esthetic-cut 1.53 Trans GEN S ,55.40,56.40,59.40,61.40,61.40,x,x,x,65.40,,,,,,,,,,
Esthetic-cut 1.60 Trans GEN S ,48.11,49.11,52.11,54.11,54.11,54.11,x,x,58.11,,,,,,,,,,
"Esthetic-cut 1.60 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",48.11,49.11,52.11,54.11,54.11,54.11,x,x,58.11,,,,,,,,,,
Esthetic-cut 1.67 Trans GEN S ,55.80,56.80,59.80,61.80,61.80,61.80,x,x,65.80,,,,,,,,,,
"Esthetic-cut 1.67 Trans GEN S (Sapphire,Amethyst,Amber,Emerald, Ruby) ",55.80,56.80,59.80,61.80,61.80,61.80,x,x,65.80,,,,,,,,,,
Esthetic-cut 1.74 Trans GEN S ,66.22,67.22,70.22,72.22,72.22,72.22,x,x,76.22,,,,,,,,,,
Esthetic-cut  1.50 Trans Drivewear ,58.96,59.96,62.96,64.96,64.96,64.96,x,x,68.96,,,,,,,,,,
