sku;name;images;video;stock_a;stock_a_days;stock_b;stock_b_days;stock_c;stock_c_days;pvd_old;pvd;pvd_dif;pvr_old;pvr;pvr_dif;category
S72138626;Ladies' Sunglasses Max Mara MM0066 5721E;https://www.bigbuy.eu/7734467/ladies-sunglasses-max-mara-mm0066-5721e_1287931.jpg;-;36;1;0;5;36;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138625;Ladies' Sunglasses Max Mara MM0065 5859F;https://www.bigbuy.eu/7734479/ladies-sunglasses-max-mara-mm0065-5859f_1287937.jpg;-;30;1;0;5;31;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138624;Ladies' Sunglasses Max Mara MM0062-H 5930F;https://www.bigbuy.eu/7734445/ladies-sunglasses-max-mara-mm0062-h-5930f_1287925.jpg;-;5;1;0;5;5;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138623;Ladies' Sunglasses Max Mara MM0059-D 5972E;https://www.bigbuy.eu/7734418/ladies-sunglasses-max-mara-mm0059-d-5972e_1287914.jpg;-;36;1;0;5;36;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138622;Ladies' Sunglasses Max Mara MM0059-D 5952A;https://www.bigbuy.eu/7734430/ladies-sunglasses-max-mara-mm0059-d-5952a_1287919.jpg;-;22;1;0;5;22;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138621;Ladies' Sunglasses Max Mara MM0058 5752F;https://www.bigbuy.eu/7734377/ladies-sunglasses-max-mara-mm0058-5752f_1287901.jpg;-;50;1;0;5;50;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138620;Ladies' Sunglasses Max Mara MM0058 5701B;https://www.bigbuy.eu/7734357/ladies-sunglasses-max-mara-mm0058-5701b_1287894.jpg;-;50;1;0;5;50;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138619;Ladies' Sunglasses Max Mara MM0040 5455F;https://www.bigbuy.eu/7734385/ladies-sunglasses-max-mara-mm0040-5455f_1287904.jpg;-;33;1;0;5;33;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138618;Ladies' Sunglasses Max Mara MM0035-H 6132F;https://www.bigbuy.eu/7734373/ladies-sunglasses-max-mara-mm0035-h-6132f_1287900.jpg;-;50;1;0;5;50;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138616;Ladies' Sunglasses Max Mara MM0014 5656B;https://www.bigbuy.eu/7734406/ladies-sunglasses-max-mara-mm0014-5656b_1287910.jpg;-;13;1;0;5;13;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138614;Ladies' Sunglasses Max Mara MM0032-D 5928F;https://www.bigbuy.eu/7734356/ladies-sunglasses-max-mara-mm0032-d-5928f_1287893.jpg;-;50;1;0;5;50;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
S72138613;Ladies' Sunglasses Max Mara MM0045 5854F;https://www.bigbuy.eu/7734409/ladies-sunglasses-max-mara-mm0045-5854f_1287912.jpg;-;6;1;0;5;6;1;-;63.91;0.00%;-;75.19;0.00%;Sunglasses
S72138612;Ladies' Sunglasses Max Mara MM0035-H 6138T;https://www.bigbuy.eu/7734388/ladies-sunglasses-max-mara-mm0035-h-6138t_1287906.jpg;-;6;1;0;5;6;1;-;65.71;0.00%;-;77.31;0.00%;Sunglasses
